,name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
1026,HUANG Yu Ting,HUANG YT,Female,1988-03-29,KAOHSIUNG,Chinese Taipei,Chinese Taipei,TPE,Speed Skating,SSK,KAOHSIUNG,Chinese Taipei,1.70/5'6'',../../../en/results/speed-skating/athlete-profile-n1045505-yu-ting-huang.htm
1027,HUBBELL Madison,HUBBELL M,Female,1991-02-24,"LANSING, MI",United States of America,United States of America,USA,Figure Skating,FSK,"MONTREAL, QC",Canada,,../../../en/results/figure-skating/athlete-profile-n1035161-madison-hubbell.htm
1028,HUBER Daniel,HUBER D,Male,1993-01-02,SALZBURG,Austria,Austria,AUT,Ski Jumping,SJP,SEEKIRCHEN,Austria,,../../../en/results/ski-jumping/athlete-profile-n1005780-daniel-huber.htm
1029,HUBER Elias,HUBER E,Male,1999-04-23,BERCHTESGADEN,Germany,Germany,GER,Snowboard,SBD,BERCHTESGADEN,Germany,,../../../en/results/snowboard/athlete-profile-n1001653-elias-huber.htm
1030,HUBER Katharina,HUBER K,Female,1995-10-03,,,Austria,AUT,Alpine Skiing,ALP,SANKT GEORGEN AM REITH,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1005316-katharina-huber.htm
1031,HUBER Kristian,HUBER K,Male,1997-06-13,,,Austria,AUT,Bobsleigh,BOB,FELDKIRCH,Austria,,../../../en/results/bobsleigh/athlete-profile-n1004336-kristian-huber.htm
1032,HUBER Nicolas,HUBER N,Male,1995-01-14,ZURICH,Switzerland,Switzerland,SUI,Snowboard,SBD,MANNEDORF,Switzerland,,../../../en/results/snowboard/athlete-profile-n1048565-nicolas-huber.htm
1033,HUDACEK Libor,HUDACEK L,Male,1990-09-07,LEVOCA,Czechoslovakia,Slovakia,SVK,Ice Hockey,IHO,MINSK,Belarus,1.77/5'9'',../../../en/results/ice-hockey/athlete-profile-n1044266-libor-hudacek.htm
1034,HUDEY Marsha,HUDEY M,Female,1990-08-03,"REGINA, SK",Canada,Canada,CAN,Speed Skating,SSK,"CALGARY, AB",Canada,1.60/5'2'',../../../en/results/speed-skating/athlete-profile-n1038471-marsha-hudey.htm
1035,HUETTER Cornelia,HUETTER C,Female,1992-10-29,GRAZ,Austria,Austria,AUT,Alpine Skiing,ALP,KUMBERG,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1005317-cornelia-huetter.htm
1036,HUFMAN Colin,HUFMAN C,Male,1984-05-15,"FAIRBANKS, AK",United States of America,United States of America,USA,Curling,CUR,"SEATTLE, WA",United States of America,,../../../en/results/curling/athlete-profile-n1034610-colin-hufman.htm
1037,HUGHES Jarryd,HUGHES J,Male,1995-05-21,"SYDNEY, NSW",Australia,Australia,AUS,Snowboard,SBD,"SYDNEY, NSW",Australia,,../../../en/results/snowboard/athlete-profile-n1046172-jarryd-hughes.htm
1038,HULA Stefan,HULA S,Male,1986-09-29,BIELSKO-BIALA,Poland,Poland,POL,Ski Jumping,SJP,SZCZYRK,Poland,,../../../en/results/ski-jumping/athlete-profile-n1032006-stefan-hula.htm
